Season,Dummy,Date,Station,Item,Day00,Day01,Day02,Day03,Day04,Day05,Day06,Day07,Day08,Day09,Day10,Day11,Day12,Day13,Day14,Day15,Day16,Day17,Day18,Day19,Day20,Day21,Day22,Day23
Winter,1000,2014/01/01,Sanyi,PM10,86.0,76.0,53.0,46.0,42.0,35.0,39.0,42.0,35.0,31.0,29.0,34.0,43.0,48.0,53.0,60.0,66.0,77.0,84.0,72.0,57.0,61.0,66.0,56.0
Winter,1000,2014/01/02,Sanyi,PM10,48.0,43.0,39.0,38.0,35.0,31.0,29.0,32.0,29.0,27.0,31.0,37.0,46.0,50.0,38.0,45.0,62.0,79.0,93.0,88.0,71.0,66.0,65.0,51.0
Winter,1000,2014/01/03,Sanyi,PM10,44.0,42.0,40.0,37.0,33.0,32.0,24.0,20.0,20.0,21.0,27.0,37.0,39.0,33.0,38.0,51.0,71.0,87.0,81.0,73.0,77.0,77.0,76.0,81.0
Winter,1000,2014/01/04,Sanyi,PM10,87.0,88.0,82.0,76.0,65.0,65.0,79.0,94.0,104.0,115.0,119.0,120.0,114.0,108.0,109.0,120.0,148.0,180.0,199.0,213.0,211.0,193.0,172.0,155.0
Winter,1000,2014/01/05,Sanyi,PM10,150.0,144.0,138.0,143.0,147.0,145.0,148.0,142.0,134.0,122.0,125.0,138.0,131.0,114.0,110.0,110.0,100.0,94.0,89.0,84.0,82.0,78.0,76.0,71.0
Winter,1000,2014/01/07,Sanyi,PM10,60.0,55.0,53.0,53.0,44.0,39.0,45.0,48.0,48.0,55.0,77.0,87.0,82.0,83.0,82.0,76.0,76.0,83.0,81.0,71.0,93.0,99.0,79.0,77.0
Winter,1000,2014/01/08,Sanyi,PM10,76.0,68.0,57.0,53.0,49.0,40.0,37.0,37.0,34.0,49.0,56.0,49.0,49.0,42.0,64.0,78.0,59.0,60.0,66.0,62.0,51.0,44.0,42.0,38.0
Winter,1000,2014/01/09,Sanyi,PM10,31.0,33.0,37.0,35.0,37.0,38.0,37.0,37.0,32.0,26.0,27.0,32.0,34.0,32.0,27.0,31.0,38.0,35.0,28.0,24.0,27.0,26.0,16.0,13.0
Winter,1000,2014/01/10,Sanyi,PM10,17.0,18.0,20.0,21.0,21.0,20.0,23.0,23.0,22.0,21.0,22.0,27.0,33.0,35.0,34.0,39.0,44.0,40.0,31.0,29.0,32.0,31.0,34.0,34.0
Winter,1000,2014/01/11,Sanyi,PM10,34.0,42.0,43.0,45.0,46.0,46.0,49.0,56.0,53.0,49.0,50.0,49.0,59.0,57.0,48.0,56.0,64.0,61.0,57.0,55.0,50.0,48.0,53.0,70.0
Winter,1000,2014/01/12,Sanyi,PM10,92.0,98.0,95.0,98.0,95.0,84.0,72.0,70.0,71.0,60.0,56.0,55.0,46.0,40.0,38.0,43.0,44.0,35.0,29.0,23.0,24.0,21.0,18.0,24.0
Winter,1000,2014/01/13,Sanyi,PM10,24.0,22.0,24.0,21.0,20.0,22.0,24.0,29.0,37.0,46.0,48.0,46.0,50.0,57.0,61.0,59.0,56.0,57.0,61.0,67.0,67.0,61.0,64.0,64.0
Winter,1000,2014/01/14,Sanyi,PM10,54.0,46.0,40.0,34.0,24.0,22.0,27.0,27.0,24.0,23.0,18.0,21.0,18.0,13.0,13.0,12.0,20.0,28.0,29.0,26.0,22.0,21.0,22.0,24.0
Winter,1000,2014/01/17,Sanyi,PM10,31.0,31.0,32.0,28.0,32.0,33.0,33.0,40.0,42.0,35.0,34.0,39.0,42.0,43.0,45.0,51.0,55.0,55.0,54.0,48.0,42.0,35.0,29.0,26.0
Winter,1000,2014/01/18,Sanyi,PM10,27.0,27.0,22.0,22.0,23.0,21.0,22.0,24.0,34.0,45.0,55.0,73.0,115.0,148.0,158.0,165.0,161.0,153.0,141.0,139.0,133.0,112.0,98.0,88.0
Winter,1000,2014/01/19,Sanyi,PM10,81.0,76.0,75.0,70.0,61.0,56.0,56.0,53.0,48.0,43.0,62.0,98.0,106.0,99.0,97.0,97.0,104.0,108.0,109.0,105.0,97.0,94.0,94.0,89.0
Winter,1000,2014/01/20,Sanyi,PM10,86.0,86.0,87.0,98.0,108.0,101.0,97.0,95.0,90.0,83.0,70.0,67.0,75.0,75.0,75.0,71.0,67.0,71.0,66.0,59.0,51.0,60.0,73.0,70.0
Winter,1000,2014/01/21,Sanyi,PM10,77.0,92.0,100.0,104.0,103.0,112.0,128.0,137.0,152.0,166.0,169.0,171.0,169.0,159.0,150.0,132.0,117.0,99.0,84.0,77.0,70.0,65.0,62.0,56.0
Winter,1000,2014/01/22,Sanyi,PM10,51.0,45.0,43.0,45.0,46.0,44.0,40.0,40.0,42.0,43.0,42.0,43.0,45.0,50.0,54.0,49.0,50.0,48.0,40.0,37.0,35.0,33.0,33.0,32.0
Winter,1000,2014/01/23,Sanyi,PM10,27.0,23.0,23.0,23.0,22.0,29.0,34.0,34.0,33.0,31.0,39.0,46.0,53.0,55.0,53.0,48.0,42.0,44.0,50.0,59.0,54.0,38.0,27.0,28.0
Winter,1000,2014/01/24,Sanyi,PM10,39.0,44.0,40.0,38.0,35.0,33.0,45.0,51.0,44.0,48.0,48.0,45.0,57.0,59.0,45.0,38.0,28.0,29.0,43.0,54.0,57.0,51.0,43.0,37.0
Winter,1000,2014/01/25,Sanyi,PM10,37.0,33.0,26.0,22.0,20.0,16.0,16.0,18.0,20.0,16.0,16.0,23.0,27.0,27.0,28.0,26.0,24.0,32.0,51.0,55.0,53.0,56.0,45.0,31.0
Winter,1000,2014/01/27,Sanyi,PM10,45.0,43.0,43.0,43.0,39.0,37.0,37.0,34.0,38.0,39.0,38.0,42.0,40.0,46.0,56.0,57.0,55.0,57.0,54.0,51.0,57.0,50.0,42.0,44.0
Winter,1000,2014/01/29,Sanyi,PM10,46.0,49.0,44.0,45.0,48.0,49.0,46.0,44.0,54.0,50.0,51.0,68.0,79.0,76.0,64.0,66.0,66.0,71.0,83.0,76.0,71.0,83.0,73.0,56.0
Winter,1000,2014/01/30,Sanyi,PM10,62.0,73.0,60.0,42.0,44.0,46.0,46.0,51.0,49.0,48.0,53.0,50.0,55.0,61.0,57.0,55.0,57.0,65.0,72.0,73.0,77.0,71.0,75.0,73.0
Winter,1000,2014/01/31,Sanyi,PM10,65.0,62.0,53.0,45.0,42.0,37.0,33.0,29.0,29.0,29.0,48.0,76.0,86.0,89.0,84.0,84.0,90.0,90.0,88.0,89.0,88.0,81.0,66.0,53.0
Winter,1000,2014/02/01,Sanyi,PM10,50.0,49.0,45.0,45.0,43.0,40.0,39.0,46.0,46.0,39.0,34.0,32.0,34.0,42.0,44.0,43.0,43.0,42.0,127.0,148.0,98.0,92.0,64.0,46.0
Winter,1000,2014/02/02,Sanyi,PM10,37.0,35.0,35.0,37.0,35.0,29.0,27.0,29.0,33.0,32.0,32.0,31.0,32.0,39.0,39.0,39.0,39.0,43.0,39.0,43.0,111.0,110.0,53.0,51.0
Winter,1000,2014/02/03,Sanyi,PM10,46.0,46.0,43.0,38.0,33.0,29.0,28.0,27.0,24.0,24.0,23.0,24.0,37.0,45.0,45.0,44.0,37.0,37.0,51.0,62.0,64.0,62.0,65.0,62.0
Winter,1000,2014/02/04,Sanyi,PM10,67.0,73.0,70.0,67.0,60.0,49.0,37.0,27.0,26.0,23.0,21.0,21.0,29.0,40.0,38.0,33.0,31.0,24.0,18.0,18.0,15.0,18.0,20.0,10.0
Winter,1000,2014/02/05,Sanyi,PM10,11.0,11.0,5.0,6.0,7.0,6.0,9.0,6.0,7.0,11.0,11.0,7.0,9.0,16.0,20.0,26.0,37.0,43.0,45.0,44.0,46.0,55.0,53.0,46.0
Winter,1000,2014/02/07,Sanyi,PM10,49.0,34.0,23.0,21.0,22.0,33.0,53.0,51.0,32.0,23.0,29.0,34.0,32.0,31.0,29.0,39.0,49.0,40.0,34.0,31.0,24.0,27.0,28.0,28.0
Winter,1000,2014/02/08,Sanyi,PM10,24.0,18.0,18.0,16.0,12.0,13.0,13.0,11.0,9.0,15.0,20.0,17.0,20.0,24.0,23.0,22.0,23.0,24.0,27.0,23.0,18.0,20.0,20.0,12.0
Winter,1000,2014/02/09,Sanyi,PM10,11.0,12.0,9.0,10.0,10.0,9.0,6.0,9.0,13.0,13.0,10.0,9.0,9.0,11.0,12.0,10.0,13.0,12.0,9.0,11.0,10.0,11.0,11.0,12.0
Winter,1000,2014/02/10,Sanyi,PM10,13.0,10.0,5.0,10.0,11.0,12.0,17.0,16.0,13.0,17.0,16.0,15.0,17.0,17.0,15.0,16.0,15.0,13.0,18.0,20.0,22.0,20.0,24.0,27.0
Winter,1000,2014/02/11,Sanyi,PM10,23.0,22.0,18.0,18.0,26.0,32.0,31.0,32.0,35.0,35.0,28.0,24.0,26.0,27.0,33.0,32.0,33.0,37.0,34.0,31.0,27.0,28.0,31.0,27.0
Winter,1000,2014/02/13,Sanyi,PM10,27.0,24.0,24.0,24.0,22.0,21.0,16.0,11.0,11.0,9.0,7.0,9.0,13.0,13.0,12.0,11.0,13.0,15.0,17.0,17.0,16.0,16.0,15.0,15.0
Winter,1000,2014/02/14,Sanyi,PM10,16.0,13.0,12.0,11.0,16.0,17.0,12.0,15.0,15.0,15.0,16.0,20.0,24.0,23.0,20.0,20.0,20.0,21.0,22.0,24.0,24.0,22.0,24.0,22.0
Winter,1000,2014/02/15,Sanyi,PM10,22.0,22.0,24.0,26.0,22.0,18.0,21.0,24.0,26.0,26.0,24.0,23.0,23.0,26.0,34.0,35.0,34.0,40.0,42.0,37.0,31.0,27.0,31.0,39.0
Winter,1000,2014/02/16,Sanyi,PM10,49.0,48.0,44.0,50.0,48.0,37.0,35.0,35.0,31.0,31.0,39.0,43.0,39.0,38.0,51.0,68.0,67.0,70.0,67.0,64.0,60.0,50.0,50.0,49.0
Winter,1000,2014/02/17,Sanyi,PM10,38.0,31.0,37.0,62.0,82.0,73.0,55.0,48.0,50.0,42.0,37.0,37.0,37.0,50.0,60.0,70.0,71.0,66.0,70.0,73.0,76.0,86.0,93.0,86.0
Winter,1000,2014/02/20,Sanyi,PM10,29.0,32.0,35.0,37.0,35.0,35.0,34.0,34.0,38.0,40.0,39.0,37.0,40.0,44.0,50.0,57.0,67.0,76.0,70.0,64.0,65.0,65.0,60.0,56.0
Winter,1000,2014/02/21,Sanyi,PM10,53.0,57.0,61.0,60.0,57.0,49.0,45.0,50.0,50.0,46.0,48.0,53.0,54.0,49.0,43.0,45.0,46.0,48.0,49.0,43.0,40.0,110.0,110.0,39.0
Winter,1000,2014/02/22,Sanyi,PM10,35.0,32.0,35.0,42.0,42.0,37.0,35.0,42.0,53.0,56.0,55.0,56.0,50.0,46.0,49.0,49.0,48.0,50.0,53.0,50.0,54.0,50.0,40.0,32.0
Winter,1000,2014/02/23,Sanyi,PM10,29.0,35.0,37.0,39.0,38.0,34.0,35.0,37.0,32.0,31.0,27.0,28.0,35.0,42.0,45.0,43.0,46.0,55.0,53.0,49.0,44.0,38.0,38.0,38.0
Winter,1000,2014/02/24,Sanyi,PM10,42.0,39.0,33.0,29.0,29.0,32.0,33.0,45.0,66.0,77.0,86.0,99.0,108.0,111.0,114.0,116.0,117.0,130.0,136.0,120.0,90.0,75.0,50.0,21.0
Winter,1000,2014/02/25,Sanyi,PM10,17.0,18.0,20.0,27.0,32.0,27.0,18.0,22.0,39.0,40.0,42.0,54.0,56.0,45.0,38.0,49.0,64.0,82.0,95.0,95.0,101.0,115.0,109.0,77.0
Winter,1000,2014/02/27,Sanyi,PM10,50.0,43.0,34.0,32.0,38.0,39.0,43.0,49.0,48.0,54.0,55.0,48.0,50.0,60.0,61.0,62.0,66.0,65.0,65.0,66.0,62.0,50.0,43.0,54.0
